Class Name,Credits,Prerequisites
COMP SCI/​L I S  102,3 credits.,MATH 096 or placement into MATH 141. MATH 118 does not fulfill the prerequisite. Not open to students with credit for COMP SCI 300 or 320
COMP SCI 200,3 credits.,Satisfied Quantitative Reasoning (QR) A requirement or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 220,4 credits.,Satisfied Quantitative Reasoning (QR) A requirement or declared in the Professional Capstone Program in Computer Sciences. Not open to students with credit for COMP SCI 301.
COMP SCI/​MATH  240,3 credits.,"MATH 217, 221, or 275"
COMP SCI/​E C E  252,3 credits.,None
COMP SCI 270,3 credits.,Not open to students with credit for COMP SCI 570
COMP SCI 298,1-3 credits.,Consent of instructor
COMP SCI 300,3 credits.,"Satisfied QR-A and (COMP SCI 200, 220, 302, 310, 301, or placement into COMP SCI 300) or (E C E/​COMP SCI  252 and E C E 203); graduate/professional standing; declared in Capstone Certificate in COMP SCI. Not open to students with credit for COMP SCI 367."
COMP SCI 304,0-1 credits.,Concurrent enrollment in COMP SCI 200 and member of Wisconsin Emerging Scholars program in Computer Science
COMP SCI 310,3 credits.,"MATH 222, graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 319,3 credits.,Graduate/professional standing
COMP SCI 320,4 credits.,"COMP SCI 220 (or COMP SCI 301 prior to Spring 2020), COMP SCI 300, 319, graduate/professional standing, or declared in the Computer Sciences for Professionals Capstone Certificate"
COMP SCI/​E C E  352,3 credits.,Satisfied Quantitative Reasoning (QR) A requirement and E C E/​COMP SCI  252
COMP SCI/​E C E  354,3 credits.,E C E/​COMP SCI  252 and (COMP SCI 300 or 302) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 368,1 credit.,None
COMP SCI 400,3 credits.,"COMP SCI 300, graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 402,2 credits.,"COMP SCI 200, 220, 300, 301, 302, 310, 367, placement into COMP SCI 300, or L I S/​COMP SCI  102 (COMP SCI 202 prior to Fall 2023), graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​STAT  403,1 credit.,Consent of instructor
COMP SCI 407,3 credits.,"(COMP SCI 300 or 367), graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 412,3 credits.,"MATH 222 and (MATH/​COMP SCI  240 or MATH 234) and (COMP SCI 200, 300, 301, 302, 310, or placement into COMP SCI 300) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​I SY E/​MATH  425,3 credits.,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program"
COMP SCI/​E C E/​MATH  435,3 credits.,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program"
COMP SCI/​STAT  471,3 credits.,"STAT/​MATH  310 and (STAT 333 or 340), graduate/professional standing, or declared in Statistics VISP"
COMP SCI/​MATH/​STAT  475,3 credits.,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program"
COMP SCI/​CURRIC  502,1 credit.,COMP SCI 300 or 302 or declared in Computer Science graduate program
COMP SCI/​E C E  506,3 credits.,"(COMP SCI 367 or 400) and (COMP SCI 407, 536, 537, 545, 559, 564, 570, 679 or E C E/​COMP SCI  552) or graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​MATH  513,3 credits.,"(MATH 340, 341, or 375) and (COMP SCI 200, 300, 301, 302, 310, or placement into COMP SCI 300) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) program"
COMP SCI/​MATH  514,3 credits.,"(MATH 320, 340, 341, or 375), (MATH 322, 376, 421, or 521), and (COMP SCI 200, 220, 300, 310, or 301 prior to Spring 2020, or placement into COMP SCI 300); grad/professional standing; member of the Pre-Masters Mathematics (Visiting International) Program"
COMP SCI/​DS/​I SY E  518,3 credits.,Sophomore standing
COMP SCI 520,3 credits.,"(MATH/​COMP SCI  240 or STAT/​COMP SCI/​MATH  475) and (COMP SCI 367 or 400), or graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​E C E/​I SY E  524,3 credits.,"(COMP SCI 200, 220, 300, 301, 302, 310, or placement into COMP SCI 300) and (MATH 320, 340, 341, or 375) or graduate/professional standing"
COMP SCI/​I SY E/​MATH/​STAT  525,3 credits.,"MATH 320, 340, 341, 375, or 443 or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program"
COMP SCI/​I SY E  526,3 credits.,"STAT/​COMP SCI/​I SY E/​MATH  525 and (COMP SCI 200, 220, 300, 301, 302, 310, or placement into COMP SCI 300) or graduate/professional standing"
COMP SCI/​E C E/​M E  532,3 credits.,"(MATH 234, 320, 340, 341, or 375) and (E C E 203, COMP SCI 200, 220, 300, 301, 302, 310, 320, or placement into COMP SCI 300), graduate/professional standing, or declared in Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​E C E  533,3 credits.,"E C E 330 and (MATH 320 or 340), graduate/professional standing, or member of Engineering Guest Students"
COMP SCI 534,3 credits.,"(COMP SCI 300 or 367) and (MATH 217, 221 or 275) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 536,3 credits.,E C E/​COMP SCI  354 and (COMP SCI 367 or 400) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 537,4 credits.,E C E/​COMP SCI  354 and (COMP SCI 367 or 400) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 538,3 credits.,E C E/​COMP SCI  354 and (COMP SCI 367 or 400) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI/​E C E/​M E  539,3 credits.,"COMP SCI 200, 220, 300, 301, 302, 310, placement into COMP SCI 300, or graduate/professional standing"
COMP SCI 540,3 credits.,"(COMP SCI 300, 320 or 367) and (MATH 211, 217, 221, or 275) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 542,3 credits.,"COMP SCI 400 or 320, graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 544,3 credits.,"COMP SCI 320, 400, or Graduate/Professional Standing"
COMP SCI 545,3 credits.,"COMP SCI 536, 537, or 564 or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​E C E  552,3 credits.,(E C E/​COMP SCI  352 and E C E/​COMP SCI  354) or graduate/professional standing
COMP SCI/​I SY E/​M E  558,3 credits.,(COMP SCI 367 or 400) and MATH 234 or graduate/professional standing
COMP SCI 559,3 credits.,(MATH 222 or MATH 276) and (COMP SCI 367 or 400) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI/​E C E  561,3 credits.,"(MATH 320, 340, 341, 375, or M E/​COMP SCI/​E C E  532 or concurrent enrollment) and (E C E 331, STAT/​MATH  309, 431, STAT 311, 324, M E/​STAT  424 or MATH 531) or grad/profsnl standing or declared in Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 564,4 credits.,E C E/​COMP SCI  354 and (COMP SCI 367 or 400) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 565,3 credits.,"COMP SCI 320, 400, or Graduate/Professional Standing"
COMP SCI 566,3 credits.,"COMP SCI 400 and (MATH 320, 340, 341 or 375) and (STAT 302, 311, 324, 340, 371, STAT/​MATH  309, 431, MATH 331 or 531) or graduate/professional standing"
COMP SCI/​B M I  567,3 credits.,"(MATH 320 or 340) and (STAT 511, 541, POP HLTH/​B M I  551, STAT 324, 371, or STAT/​F&W ECOL/​HORT  571) or graduate/professional standing"
COMP SCI 570,4 credits.,"COMP SCI 200, 300, 301, 302, placement into COMP SCI 300, or L I S/​COMP SCI  102 (COMP SCI 202 prior to Fall 2023); grad/professional standing; declared in the Capstone Cert in Comp Sci for Professionals. Not open to students with credit for COMP SCI 270."
COMP SCI 571,3 credits.,COMP SCI 400
COMP SCI/​B M I  576,3 credits.,"(COMP SCI 320 or 400) and MATH 222, graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 577,4 credits.,"(MATH/​COMP SCI  240 or STAT/​COMP SCI/​MATH  475) and (COMP SCI 367 or 400), or graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 578,1 credit.,"(COMP SCI 300 or 367), graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI/​DS  579,3 credits.,Sophomore standing
COMP SCI/​L I S  611,3 credits.,"Declared in Information MS, Design + Innovation MS , or Capstone Certificate in User Experience Design"
COMP SCI/​L I S  612,3 credits.,"COMP SCI/​L I S  611 and Declared in Information MS, Design + Innovation MS, or Capstone Certificate in User Experience Design"
COMP SCI/​L I S  613,3 credits.,"COMP SCI/​L I S  612 and Declared in Information MS, Design + Innovation MS, or Capstone Certificate in User Experience Design"
COMP SCI/​L I S  614,1 credit.,"COMP SCI/​L I S  613 and declared in Design + Innovation MS, or the Capstone Certificate in User Experience Design"
COMP SCI/​I SY E  635,3 credits.,"(MATH 320, 340, 341, or 375) and (COMP SCI 200, 300, 301, 302, placement into COMP SCI 300, or L I S/​COMP SCI  102 (COMP SCI 202 prior to Fall 2023)); grad/professional standing; declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 638,1-4 credits.,"COMP SCI 200, 300, 301, 302, 310, 367, placement into COMP SCI 300, or L I S/​COMP SCI  102 (COMP SCI 202 prior to Fall 2023), graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
COMP SCI 639,3-4 credits.,None
COMP SCI 640,3 credits.,COMP SCI 537 or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 642,3 credits.,COMP SCI 537 or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 681,3 credits.,Consent of instructor
COMP SCI 682,3 credits.,Consent of instructor
COMP SCI 691,2-3 credits.,Consent of instructor
COMP SCI 692,2-3 credits.,Consent of instructor
COMP SCI 698,1-6 credits.,Consent of instructor
COMP SCI 699,1-6 credits.,Consent of instructor
COMP SCI 701,3 credits.,Graduate/professional standing
COMP SCI 702,1-2 credits.,Consent of instructor
COMP SCI 703,3 credits.,Graduate/professional standing
COMP SCI 704,3 credits.,Graduate/professional standing
COMP SCI 706,3 credits.,Graduate/professional standing
COMP SCI/​E C E  707,3 credits.,Graduate/professional standing
COMP SCI 710,3 credits.,Graduate/professional standing
COMP SCI/​MATH  714,3 credits.,Graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program
COMP SCI/​MATH  715,3 credits.,Graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program
